Group,Subject,Rew,Block,Phase,Opt
-1,14,1,4,-1,0.5
-1,14,1,5,-1,0.4
-1,14,1,6,-1,0.6
-1,14,1,7,-1,0.5
-1,14,1,8,-1,0.67
-1,14,1,9,-1,0.2
-1,14,1,10,-1,0.33
-1,14,1,11,-1,0.33
-1,15,-1,0,1,0.71
-1,15,-1,1,1,0.5
-1,15,-1,2,1,1
-1,15,-1,3,1,1
-1,15,-1,4,1,1
-1,15,-1,5,1,0.71
-1,15,-1,6,1,1
-1,15,-1,7,1,0.57
-1,15,-1,8,1,1
-1,15,-1,9,1,0.86
-1,15,-1,10,1,1
-1,15,-1,11,1,1
-1,15,-1,0,-1,0.33
-1,15,-1,1,-1,0.83
-1,15,-1,2,-1,0.4
-1,15,-1,3,-1,0.67
-1,15,-1,4,-1,1
-1,15,-1,5,-1,0.6
-1,15,-1,6,-1,0.67
-1,15,-1,7,-1,0.5
-1,15,-1,8,-1,0.8
-1,15,-1,9,-1,1
-1,15,-1,10,-1,0.83
-1,15,-1,11,-1,0.75
-1,15,1,0,1,1
-1,15,1,1,1,1
-1,15,1,2,1,1
-1,15,1,3,1,1
-1,15,1,4,1,1
-1,15,1,5,1,1
-1,15,1,6,1,1
-1,15,1,7,1,1
-1,15,1,8,1,1
-1,15,1,9,1,1
-1,15,1,10,1,1
-1,15,1,11,1,1
-1,15,1,0,-1,0.25
-1,15,1,1,-1,0.75
-1,15,1,2,-1,0.6
-1,15,1,3,-1,0.57
-1,15,1,4,-1,0.4
-1,15,1,5,-1,0.6
-1,15,1,6,-1,1
-1,15,1,7,-1,0.33
-1,15,1,8,-1,0.4
-1,15,1,9,-1,0.6
-1,15,1,10,-1,0.75
-1,15,1,11,-1,0.33
-1,17,-1,0,1,0.67
-1,17,-1,1,1,1
-1,17,-1,2,1,0.83
-1,17,-1,3,1,1
-1,17,-1,4,1,1
-1,17,-1,5,1,1
-1,17,-1,6,1,1
-1,17,-1,7,1,0.43
-1,17,-1,8,1,1
-1,17,-1,9,1,1
-1,17,-1,10,1,1
-1,17,-1,11,1,1
-1,17,-1,0,-1,0.67
-1,17,-1,1,-1,0.2
-1,17,-1,2,-1,0.5
-1,17,-1,3,-1,0.4
-1,17,-1,4,-1,0.67
-1,17,-1,5,-1,0.5
-1,17,-1,6,-1,0.67
-1,17,-1,7,-1,0.43
-1,17,-1,8,-1,0.25
-1,17,-1,9,-1,0.67
